fan,mavzu,savol,a,b,c,d,correct,izoh
Jahon tarixi,Qadimgi Dunyo,Qadimgi Misrda birinchi umumdavlat poytaxti qaysi shahar bo'lgan?,Memfis,Fiva,Aleksandriya,Qohira,A,"Miloddan avvalgi 3000-yillarda podshoh Minis Misrni birlashtirib, Memfisga asos solgan."
Jahon tarixi,Qadimgi Dunyo,Rim imperiyasi qaysi yilda rasman G'arbiy va Sharqiy imperiyalarga bo'linib ketdi?,395-yil,476-yil,313-yil,1453-yil,A,395-yilda imperator Feodosiy vafotidan so'ng Rim ikki mustaqil qismga bo'lindi.
Jahon tarixi,O'rta asrlar,Buyuk Ipak yo'li atamasini fanga birinchi bo'lib kiritgan olim kim?,Ferdinand Rihtgofen,Marko Polo,Ibn Battuta,Gerodot,A,1877-yilda nemis geografi Ferdinand fon Rihtgofen o'z asarida bu atamani ishlatgan.
Jahon tarixi,O'rta asrlar,Franklar davlatida qirollik sulolasiga asos solgan hukmdor kim?,Xlodvig,Karl Katta,Pipin Kalta,Yustinian,A,Xlodvig 481-yilda Franklar davlatiga asos soldi va 496-yilda xristianlikni qabul qildi.
Jahon tarixi,Yangi davr,AQSH Mustaqillik Deklaratsiyasi qaysi yilda qabul qilingan?,1774-yil,1776-yil,1783-yil,1789-yil,B,1776-yil 4-iyulda Filadelfiyada Tomas Joferson tomonidan yozilgan Deklaratsiya qabul qilindi.
Jahon tarixi,Yangi davr,Fransiya burjua inqilobi qaysi mashhur qal'ani shturm qilish bilan boshlangan?,Bastiliya,Versal,Luvr,Tyuilri,A,1789-yil 14-iyulda qo'zg'olonchilar absolyutizm ramzi bo'lgan Bastiliya qal'asini egallashdi.
Jahon tarixi,Eng yangi davr,Birinchi jahon urushi boshlanishiga qaysi shahardagi suidast sabab bo'lgan?,Sarayevo,Vena,Berlin,London,A,1914-yil 28-iyunda Sarayevoda Avstriya ersgersogi Frans Ferdinand o'ldirildi.
Jahon tarixi,Eng yangi davr,Millatlar Ligasi xalqaro tashkiloti qaysi konferensiya qaroriga ko'ra tuzilgan?,Parij,Versal,Vashington,London,A,1919-1920 yillardagi Parij tinchlik konferensiyasida tashkilot Ustavi tasdiqlandi.
Jahon tarixi,Ikkinchi jahon urushi,Ikkinchi jahon urushi qaysi davlatga bostirib kirish bilan boshlangan?,Polsha,Fransiya,Chexoslovakiya,SSSR,A,1939-yil 1-sentabrda Germaniyaning Polshaga hujumi bilan urush boshlandi.
Jahon tarixi,Ikkinchi jahon urushi,Antihitler koalitsiyasi rahbarlarining Yalta konferensiyasi qaysi yilda bo'ldi?,1943-yil,1945-yil,1944-yil,1942-yil,B,"1945-yil fevral oyida Ruzvelt, Cherchill va Stalin ishtirokida Yalta uchrashuvi o'tkazildi."
